"id","horizon","alkylC","meth_N_alkylC","O_alkylC","di_O_alkylC","aromatic","O_aromaticC","carbonylC"
"8","F/H horizon",30.68,4.68,36.16,9.86,8.46,5.97,4.2
"9","F/H horizon",27.26,4.95,37.25,10.57,9.24,6.5,4.24
"10","F/H horizon",36.57,5.49,29.33,8.17,9.98,6.03,4.43
"11","F/H horizon",29.24357638,6.095912566,33.41419628,8.938415829,11.38253851,6.884978409,4.040382022
"12","F/H horizon",25.54437802,6.174600296,34.74187282,9.506161345,12.43108647,7.458637652,4.143263393
"13","F/H horizon",31.34386249,5.211638596,33.47458629,9.520805252,9.841555021,6.470466864,4.137085488
"14","F/H horizon",23.34,5.59,35.77,10.99,11.95,8.24,4.12
"15","F/H horizon",31.92,4.84,33.77,10.17,9.08,6.43,3.79
"16","F/H horizon",26.88,5.18,35.79,10.8,10.36,7.23,3.77
"17","F/H horizon",29.32,4.93,35.68,10.02,9.48,6.55,4.01
"18","F/H horizon",28.88595301,5.296160884,35.30280825,9.846054345,10.04451882,6.856558728,3.767945966
"19","F/H horizon",31.35,5.49,32.88,9.32,10.04,6.54,4.37
"20","F/H horizon",29.25,6.36,32.03,9.24,11.74,7.13,4.25
"21","F/H horizon",31.26,5.38,32.4,9.27,10.47,6.79,4.43
"22","F/H horizon",30.27,5.36,33.36,9.6,10.25,6.63,4.53
"23","F/H horizon",23.13899989,5.405981205,39.14695871,10.60334097,10.83226307,7.007069631,3.865386523
"24","F/H horizon",27.7932778,5.048589322,34.19831206,10.53487537,10.67743598,7.482957747,4.264551714
"25","F/H horizon",29.49667166,4.737990169,34.31686193,10.42997882,10.00667115,6.829340381,4.182485889
"26","F/H horizon",29.22875877,4.400830492,36.98502315,10.22931419,8.93694474,6.183793726,4.035334934
"27","F/H horizon",30.62226357,4.852591211,33.94191919,9.963370739,9.590888701,6.776598806,4.25236779
"28","F/H horizon",27.65785154,5.2547429,35.76815845,10.28636579,10.19410645,6.741662031,4.097112834
